#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"Domain local","Administrators","Domain Admins;Enterprise Admins;Administrator","20240411080143.0Z"
"Domain local","Users","Domain Users;S-1-5-11;S-1-5-4","20240411074633.0Z"
"Domain local","Guests","Domain Guests;Guest","20240411074633.0Z"
"Domain local","Print Operators","","20240411080143.0Z"
"Domain local","Backup Operators","","20240411080143.0Z"
"Domain local","Replicator","","20240411080143.0Z"
"Domain local","Remote Desktop Users","","20240411074526.0Z"
"Domain local","Network Configuration Operators","","20240411074526.0Z"
"Domain local","Performance Monitor Users","","20240411074526.0Z"
"Domain local","Performance Log Users","","20240411074526.0Z"
"Domain local","Distributed COM Users","","20240411074526.0Z"
"Domain local","IIS_IUSRS","S-1-5-17","20240411074526.0Z"
"Domain local","Cryptographic Operators","","20240411074526.0Z"
"Domain local","Event Log Readers","","20240411074526.0Z"
"Domain local","Certificate Service DCOM Access","","20240411074526.0Z"
"Domain local","RDS Remote Access Servers","","20240411074526.0Z"
"Domain local","RDS Endpoint Servers","","20240411074526.0Z"
"Domain local","RDS Management Servers","","20240411074526.0Z"
"Domain local","Hyper-V Administrators","","20240411074526.0Z"
"Domain local","Access Control Assistance Operators","","20240411074526.0Z"
"Domain local","Remote Management Users","","20240411074526.0Z"
"Domain local","Storage Replica Administrators","","20240411074526.0Z"
"Global","Domain Computers","","20240411074633.0Z"
"Global","Domain Controllers","","20240411080143.0Z"
"Univesal","Schema Admins","Administrator","20240411080143.0Z"
"Univesal","Enterprise Admins","Administrator","20240411080143.0Z"
"Domain Local","Cert Publishers","","20240411074633.0Z"
"Global","Domain Admins","Administrator","20240411080143.0Z"
"Global","Domain Users","","20240411074633.0Z"
"Global","Domain Guests","","20240411074633.0Z"
"Global","Group Policy Creator Owners","Administrator","20240411074633.0Z"
"Domain Local","RAS and IAS Servers","","20240411074633.0Z"
"Domain local","Server Operators","","20240411080143.0Z"
"Domain local","Account Operators","","20240411080143.0Z"
"Domain local","Pre-Windows 2000 Compatible Access","S-1-5-11","20240411074633.0Z"
"Domain local","Incoming Forest Trust Builders","","20240411074633.0Z"
"Domain local","Windows Authorization Access Group","S-1-5-9","20240411074633.0Z"
"Domain local","Terminal Server License Servers","","20240411074633.0Z"
"Domain Local","Allowed RODC Password Replication Group","","20240411074633.0Z"
"Domain Local","Denied RODC Password Replication Group","Read-only Domain Controllers;Group Policy Creator Owners;Domain Admins;Cert Publishers;Enterprise Admins;Schema Admins;Domain Controllers;krbtgt","20240411074633.0Z"
"Global","Read-only Domain Controllers","","20240411080143.0Z"
"Univesal","Enterprise Read-only Domain Controllers","","20240411074633.0Z"
"Global","Cloneable Domain Controllers","","20240411074633.0Z"
"Global","Protected Users","","20240411074633.0Z"
"Global","Key Admins","","20240411080143.0Z"
"Univesal","Enterprise Key Admins","","20240411080143.0Z"
"Domain Local","DnsAdmins","","20240411074713.0Z"
"Global","DnsUpdateProxy","","20240411074713.0Z"
"Domain Local","DHCP Users","","20240412065129.0Z"
"Domain Local","DHCP Administrators","","20240412065129.0Z"
"Global","G_Produktion","Produktion10;Produktion9;Produktion8;Produktion7;Produktion6;Produktion5;Produktion4;Produktion3;Produktion2;Produktion1;Hardy Hardworker","20240415074354.0Z"
"Global","G_Salg","Salg10;Salg9;Salg8;Salg7;Salg6;Salg5;Salg4;Salg3;Salg2;Salg1;Steen Smartesen","20240415074933.0Z"
"Global","G_HR","HR10;HR9;HR8;HR7;HR6;HR5;HR4;HR3;HR2;HR1;Sonja Striks","20240415074338.0Z"
"Global","G_Direktion","Direktion10;Direktion9;Direktion8;Direktion7;Direktion6;Direktion5;Direktion4;Direktion3;Direktion2;Direktion1;Stein Snyder","20240415074319.0Z"
"Domain Local","DL_Produktion_M","G_Produktion","20240412112554.0Z"
"Domain Local","DL_Produktion_R","G_Regnskab","20240415074555.0Z"
"Domain Local","DL_Salg_M","G_Salg","20240412112646.0Z"
"Domain Local","DL_Salg_R","G_Regnskab;G_Salg","20240415074555.0Z"
"Domain Local","DL_HR_M","G_HR","20240412112703.0Z"
"Domain Local","DL_HR_R","G_Regnskab;G_HR","20240415074555.0Z"
"Domain Local","DL_Direktion_M","G_Direktion","20240412112712.0Z"
"Domain Local","DL_Direktion_R","G_Regnskab;G_Direktion","20240415074555.0Z"
"Domain Local","DL_Regnskab_M","G_Regnskab","20240415074555.0Z"
"Domain Local","DL_Regnskab_R","G_Regnskab;G_Direktion","20240415074555.0Z"
"Global","G_Regnskab","Regnskab10;Regnskab9;Regnskab8;Regnskab7;Regnskab6;Regnskab5;Regnskab4;Regnskab3;Regnskab2;Regnskab1;Tanja Talknuser","20240415074623.0Z"


