#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"-2147483643","Administrators","CN=Domain Admins,CN=Users,DC=Backpack,DC=local;CN=Enterprise Admins,CN=Users,DC=Backpack,DC=local;CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411080143.0Z"
"-2147483643","Users","CN=Domain Users,CN=Users,DC=Backpack,DC=local;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local;CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local","20240411074633.0Z"
"-2147483643","Guests","CN=Domain Guests,CN=Users,DC=Backpack,DC=local;CN=Guest,CN=Users,DC=Backpack,DC=local","20240411074633.0Z"
"-2147483643","Print Operators","","20240411080143.0Z"
"-2147483643","Backup Operators","","20240411080143.0Z"
"-2147483643","Replicator","","20240411080143.0Z"
"-2147483643","Remote Desktop Users","","20240411074526.0Z"
"-2147483643","Network Configuration Operators","","20240411074526.0Z"
"-2147483643","Performance Monitor Users","","20240411074526.0Z"
"-2147483643","Performance Log Users","","20240411074526.0Z"
"-2147483643","Distributed COM Users","","20240411074526.0Z"
"-2147483643","IIS_IUSRS","CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local","20240411074526.0Z"
"-2147483643","Cryptographic Operators","","20240411074526.0Z"
"-2147483643","Event Log Readers","","20240411074526.0Z"
"-2147483643","Certificate Service DCOM Access","","20240411074526.0Z"
"-2147483643","RDS Remote Access Servers","","20240411074526.0Z"
"-2147483643","RDS Endpoint Servers","","20240411074526.0Z"
"-2147483643","RDS Management Servers","","20240411074526.0Z"
"-2147483643","Hyper-V Administrators","","20240411074526.0Z"
"-2147483643","Access Control Assistance Operators","","20240411074526.0Z"
"-2147483643","Remote Management Users","","20240411074526.0Z"
"-2147483643","Storage Replica Administrators","","20240411074526.0Z"
"-2147483646","Domain Computers","","20240411074633.0Z"
"-2147483646","Domain Controllers","","20240411080143.0Z"
"-2147483640","Schema Admins","CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411080143.0Z"
"-2147483640","Enterprise Admins","CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411080143.0Z"
"-2147483644","Cert Publishers","","20240411074633.0Z"
"-2147483646","Domain Admins","CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411080143.0Z"
"-2147483646","Domain Users","","20240411074633.0Z"
"-2147483646","Domain Guests","","20240411074633.0Z"
"-2147483646","Group Policy Creator Owners","CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411074633.0Z"
"-2147483644","RAS and IAS Servers","","20240411074633.0Z"
"-2147483643","Server Operators","","20240411080143.0Z"
"-2147483643","Account Operators","","20240411080143.0Z"
"-2147483643","Pre-Windows 2000 Compatible Access","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local","20240411074633.0Z"
"-2147483643","Incoming Forest Trust Builders","","20240411074633.0Z"
"-2147483643","Windows Authorization Access Group","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local","20240411074633.0Z"
"-2147483643","Terminal Server License Servers","","20240411074633.0Z"
"-2147483644","Allowed RODC Password Replication Group","","20240411074633.0Z"
"-2147483644","Denied RODC Password Replication Group","CN=Read-only Domain Controllers,CN=Users,DC=Backpack,DC=local;CN=Group Policy Creator Owners,CN=Users,DC=Backpack,DC=local;CN=Domain Admins,CN=Users,DC=Backpack,DC=local;CN=Cert Publishers,CN=Users,DC=Backpack,DC=local;CN=Enterprise Admins,CN=Users,DC=Backpack,DC=local;CN=Schema Admins,CN=Users,DC=Backpack,DC=local;CN=Domain Controllers,CN=Users,DC=Backpack,DC=local;CN=krbtgt,CN=Users,DC=Backpack,DC=local","20240411074633.0Z"
"-2147483646","Read-only Domain Controllers","","20240411080143.0Z"
"-2147483640","Enterprise Read-only Domain Controllers","","20240411074633.0Z"
"-2147483646","Cloneable Domain Controllers","","20240411074633.0Z"
"-2147483646","Protected Users","","20240411074633.0Z"
"-2147483646","Key Admins","","20240411080143.0Z"
"-2147483640","Enterprise Key Admins","","20240411080143.0Z"
"-2147483644","DnsAdmins","","20240411074713.0Z"
"-2147483646","DnsUpdateProxy","","20240411074713.0Z"
"-2147483644","DHCP Users","","20240412065129.0Z"
"-2147483644","DHCP Administrators","","20240412065129.0Z"
"-2147483646","G_Produktion","CN=Produktion10,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion9,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion8,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion7,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion6,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion5,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion4,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion3,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion2,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion1,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Hardy Hardworker,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local","20240415074354.0Z"
"-2147483646","G_Salg","CN=Salg10,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg9,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg8,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg7,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg6,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg5,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg4,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg3,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg2,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg1,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Steen Smartesen,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local","20240415074933.0Z"
"-2147483646","G_HR","CN=HR10,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR9,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR8,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR7,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR6,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR5,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR4,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR3,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR2,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=HR1,OU=HR,OU=Afdelinger,DC=Backpack,DC=local;CN=Sonja Striks,OU=HR,OU=Afdelinger,DC=Backpack,DC=local","20240415074338.0Z"
"-2147483646","G_Direktion","CN=Direktion10,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion9,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion8,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion7,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion6,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion5,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion4,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion3,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion2,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Direktion1,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Stein Snyder,OU=Direktion,OU=Afdelinger,DC=Backpack,DC=local","20240415074319.0Z"
"-2147483644","DL_Produktion_M","CN=G_Produktion,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local","20240412112554.0Z"
