#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"Domain local","Administrators","CN=Domain Admins,CN=Users,DC=Backpack,DC=local;CN=Enterprise Admins,CN=Users,DC=Backpack,DC=local;CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411080143.0Z"
"Domain local","Users","CN=Domain Users,CN=Users,DC=Backpack,DC=local;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local;CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local","20240411074633.0Z"
"Domain local","Guests","CN=Domain Guests,CN=Users,DC=Backpack,DC=local;CN=Guest,CN=Users,DC=Backpack,DC=local","20240411074633.0Z"
"Domain local","Print Operators","","20240411080143.0Z"
"Domain local","Backup Operators","","20240411080143.0Z"
"Domain local","Replicator","","20240411080143.0Z"
"Domain local","Remote Desktop Users","","20240411074526.0Z"
"Domain local","Network Configuration Operators","","20240411074526.0Z"
"Domain local","Performance Monitor Users","","20240411074526.0Z"
"Domain local","Performance Log Users","","20240411074526.0Z"
"Domain local","Distributed COM Users","","20240411074526.0Z"
"Domain local","IIS_IUSRS","CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local","20240411074526.0Z"
"Domain local","Cryptographic Operators","","20240411074526.0Z"
"Domain local","Event Log Readers","","20240411074526.0Z"
"Domain local","Certificate Service DCOM Access","","20240411074526.0Z"
"Domain local","RDS Remote Access Servers","","20240411074526.0Z"
"Domain local","RDS Endpoint Servers","","20240411074526.0Z"
"Domain local","RDS Management Servers","","20240411074526.0Z"
"Domain local","Hyper-V Administrators","","20240411074526.0Z"
"Domain local","Access Control Assistance Operators","","20240411074526.0Z"
"Domain local","Remote Management Users","","20240411074526.0Z"
"Domain local","Storage Replica Administrators","","20240411074526.0Z"
"Global","Domain Computers","","20240411074633.0Z"
"Global","Domain Controllers","","20240411080143.0Z"
"Univesal","Schema Admins","CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411080143.0Z"
"Univesal","Enterprise Admins","CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411080143.0Z"
"Domain Local","Cert Publishers","","20240411074633.0Z"
"Global","Domain Admins","CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411080143.0Z"
"Global","Domain Users","","20240411074633.0Z"
"Global","Domain Guests","","20240411074633.0Z"
"Global","Group Policy Creator Owners","CN=Administrator,CN=Users,DC=Backpack,DC=local","20240411074633.0Z"
"Domain Local","RAS and IAS Servers","","20240411074633.0Z"
"Domain local","Server Operators","","20240411080143.0Z"
"Domain local","Account Operators","","20240411080143.0Z"
"Domain local","Pre-Windows 2000 Compatible Access","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local","20240411074633.0Z"
"Domain local","Incoming Forest Trust Builders","","20240411074633.0Z"
"Domain local","Windows Authorization Access Group","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=Backpack,DC=local","20240411074633.0Z"
"Domain local","Terminal Server License Servers","","20240411074633.0Z"
"Domain Local","Allowed RODC Password Replication Group","","20240411074633.0Z"
"Domain Local","Denied RODC Password Replication Group","CN=Read-only Domain Controllers,CN=Users,DC=Backpack,DC=local;CN=Group Policy Creator Owners,CN=Users,DC=Backpack,DC=local;CN=Domain Admins,CN=Users,DC=Backpack,DC=local;CN=Cert Publishers,CN=Users,DC=Backpack,DC=local;CN=Enterprise Admins,CN=Users,DC=Backpack,DC=local;CN=Schema Admins,CN=Users,DC=Backpack,DC=local;CN=Domain Controllers,CN=Users,DC=Backpack,DC=local;CN=krbtgt,CN=Users,DC=Backpack,DC=local","20240411074633.0Z"
"Global","Read-only Domain Controllers","","20240411080143.0Z"
"Univesal","Enterprise Read-only Domain Controllers","","20240411074633.0Z"
"Global","Cloneable Domain Controllers","","20240411074633.0Z"
"Global","Protected Users","","20240411074633.0Z"
"Global","Key Admins","","20240411080143.0Z"
"Univesal","Enterprise Key Admins","","20240411080143.0Z"
"Domain Local","DnsAdmins","","20240411074713.0Z"
"Global","DnsUpdateProxy","","20240411074713.0Z"
"Domain Local","DHCP Users","","20240412065129.0Z"
"Domain Local","DHCP Administrators","","20240412065129.0Z"
"Global","G_Produktion","CN=Produktion10,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion9,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion8,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion7,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion6,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion5,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion4,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion3,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion2,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Produktion1,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local;CN=Hardy Hardworker,OU=Produktion,OU=Afdelinger,DC=Backpack,DC=local","20240415074354.0Z"
"Global","G_Salg","CN=Salg10,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg9,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg8,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg7,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg6,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg5,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg4,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg3,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg2,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Salg1,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local;CN=Steen Smartesen,OU=Salg,OU=Afdelinger,DC=Backpack,DC=local","20240415074933.0Z"
