#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"Domain local","Administrators","a;Domain Admins;Enterprise Admins;Administrator","20240514115612.0Z"
"Domain local","Users","Domain Users;S-1-5-11;S-1-5-4","20240514104643.0Z"
"Domain local","Guests","Domain Guests;Guest","20240514104643.0Z"
"Domain local","Remote Desktop Users","Domain Users","20240516114818.0Z"
"Domain local","IIS_IUSRS","S-1-5-17","20240514104551.0Z"
"Univesal","Schema Admins","a;Administrator","20240514115612.0Z"
"Univesal","Enterprise Admins","a;Administrator","20240514115612.0Z"
"Global","Domain Admins","a;Administrator","20240514115612.0Z"
"Global","Group Policy Creator Owners","a;Administrator","20240514115612.0Z"
"Domain local","Pre-Windows 2000 Compatible Access","S-1-5-11","20240514104643.0Z"
"Domain local","Windows Authorization Access Group","S-1-5-9","20240514104643.0Z"
"Domain Local","Denied RODC Password Replication Group","Read-only Domain Controllers;Group Policy Creator Owners;Domain Admins;Cert Publishers;Enterprise Admins;Schema Admins;Domain Controllers;krbtgt","20240514104644.0Z"
