#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"Domain Local","DHCP Users","","20240418091257.0Z"
"Domain Local","DHCP Administrators","","20240418091257.0Z"
"Domain local","Administrators","Geog Gearløs;Domain Admins;Enterprise Admins;Administrator","20240418094935.0Z"
"Domain local","Users","Domain Users;S-1-5-11;S-1-5-4","20240418091336.0Z"
"Domain local","Guests","Domain Guests;Guest","20240418091336.0Z"
"Domain local","Print Operators","","20240418092845.0Z"
"Domain local","Backup Operators","","20240418092845.0Z"
"Domain local","Replicator","","20240418092845.0Z"
"Domain local","Remote Desktop Users","","20240418121731.0Z"
"Domain local","Network Configuration Operators","","20240418091257.0Z"
"Domain local","Performance Monitor Users","","20240418091257.0Z"
"Domain local","Performance Log Users","","20240418091257.0Z"
"Domain local","Distributed COM Users","","20240418091257.0Z"
"Domain local","IIS_IUSRS","S-1-5-17","20240418091257.0Z"
"Domain local","Cryptographic Operators","","20240418091257.0Z"
"Domain local","Event Log Readers","","20240418091257.0Z"
"Domain local","Certificate Service DCOM Access","","20240418091257.0Z"
"Domain local","RDS Remote Access Servers","","20240418091257.0Z"
"Domain local","RDS Endpoint Servers","","20240418091257.0Z"
"Domain local","RDS Management Servers","","20240418091257.0Z"
"Domain local","Hyper-V Administrators","","20240418091257.0Z"
"Domain local","Access Control Assistance Operators","","20240418091257.0Z"
"Domain local","Remote Management Users","","20240418091257.0Z"
"Domain local","Storage Replica Administrators","","20240418091257.0Z"
"Global","Domain Computers","","20240418091336.0Z"
"Global","Domain Controllers","","20240418092845.0Z"
"Univesal","Schema Admins","Administrator","20240418092845.0Z"
"Univesal","Enterprise Admins","Administrator","20240418092845.0Z"
"Domain Local","Cert Publishers","","20240418091336.0Z"
"Global","Domain Admins","Geog Gearløs;Administrator","20240418100702.0Z"
"Global","Domain Users","","20240418091336.0Z"
"Global","Domain Guests","","20240418091336.0Z"
"Global","Group Policy Creator Owners","Administrator","20240418091336.0Z"
"Domain Local","RAS and IAS Servers","","20240418091336.0Z"
"Domain local","Server Operators","","20240418092845.0Z"
"Domain local","Account Operators","","20240418092845.0Z"
"Domain local","Pre-Windows 2000 Compatible Access","S-1-5-11","20240418091336.0Z"
"Domain local","Incoming Forest Trust Builders","","20240418091336.0Z"
"Domain local","Windows Authorization Access Group","S-1-5-9","20240418091336.0Z"
"Domain local","Terminal Server License Servers","","20240418091336.0Z"
"Domain Local","Allowed RODC Password Replication Group","","20240418091336.0Z"
"Domain Local","Denied RODC Password Replication Group","Read-only Domain Controllers;Group Policy Creator Owners;Domain Admins;Cert Publishers;Enterprise Admins;Schema Admins;Domain Controllers;krbtgt","20240418091336.0Z"
"Global","Read-only Domain Controllers","","20240418092845.0Z"
"Univesal","Enterprise Read-only Domain Controllers","","20240418091336.0Z"
"Global","Cloneable Domain Controllers","","20240418091336.0Z"
"Global","Protected Users","","20240418091336.0Z"
"Global","Key Admins","","20240418092845.0Z"
"Univesal","Enterprise Key Admins","","20240418092845.0Z"
"Domain Local","DnsAdmins","","20240418091416.0Z"
"Global","DnsUpdateProxy","","20240418091416.0Z"
"Global","G_Direktion","Joakim Von And sektor","20240418111714.0Z"
"Global","G_Indkøb","Anders Andøb sektor","20240418111745.0Z"
"Global","G_IT","Geog Gearløs sektor","20240418111816.0Z"
"Global","G_Regnskab","Andersine And sektor","20240418111853.0Z"
"Global","G_Salg","Højben And sektor","20240418111916.0Z"
"Global","G_Studentermdhjælper","Rylle Andælper sektor;Pylle Andælper sektor;Kylle Andælper sektor","20240418112017.0Z"
"Domain Local","DL_Direktion_M","G_Direktion sektor","20240418112142.0Z"
"Domain Local","DL_Direktion_R","G_Regnskab sektor","20240418114235.0Z"
"Domain Local","DL_Indkøb_M","G_Indkøbøb sektor","20240418112346.0Z"
"Global","DL_Indkøb_R","G_Regnskab sektor","20240418114235.0Z"
"Domain Local","DL_IT_M","G_IT sektor","20240418112430.0Z"
"Domain Local","DL_IT_R","G_Regnskab sektor","20240418114235.0Z"
"Domain Local","DL_Regnskab_M","G_Regnskab sektor","20240418112532.0Z"
"Domain Local","DL_Regnskab_R","G_Direktion sektor","20240418114255.0Z"
"Domain Local","DL_Salg_R","G_Regnskab sektor","20240418114235.0Z"
"Domain Local","DL_Salg_M","G_Salg sektor","20240418112640.0Z"
"Domain Local","DL_Studentermedhjælper_R","G_Regnskab sektor","20240418114235.0Z"
"Domain Local","DL_Studentermedhjælper_M","G_Studentermdhjælperælper sektor","20240418112738.0Z"


