#TYPE Selected.System.Management.Automation.PSCustomObject
"groupType","name","member","whenChanged"
"Domain Local","DHCP Users","","20240418091257.0Z"
"Domain Local","DHCP Administrators","","20240418091257.0Z"
"Domain local","Administrators","CN=Geog Gearløs,OU=Administrator,OU=Afdelinger,DC=andeby,DC=local;CN=Domain Admins,CN=Users,DC=andeby,DC=local;CN=Enterprise Admins,CN=Users,DC=andeby,DC=local;CN=Administrator,CN=Users,DC=andeby,DC=local","20240418094935.0Z"
"Domain local","Users","CN=Domain Users,CN=Users,DC=andeby,DC=local;CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=andeby,DC=local;CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=andeby,DC=local","20240418091336.0Z"
"Domain local","Guests","CN=Domain Guests,CN=Users,DC=andeby,DC=local;CN=Guest,CN=Users,DC=andeby,DC=local","20240418091336.0Z"
"Domain local","Print Operators","","20240418092845.0Z"
"Domain local","Backup Operators","","20240418092845.0Z"
"Domain local","Replicator","","20240418092845.0Z"
"Domain local","Remote Desktop Users","","20240418121731.0Z"
"Domain local","Network Configuration Operators","","20240418091257.0Z"
"Domain local","Performance Monitor Users","","20240418091257.0Z"
"Domain local","Performance Log Users","","20240418091257.0Z"
"Domain local","Distributed COM Users","","20240418091257.0Z"
"Domain local","IIS_IUSRS","CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=andeby,DC=local","20240418091257.0Z"
"Domain local","Cryptographic Operators","","20240418091257.0Z"
"Domain local","Event Log Readers","","20240418091257.0Z"
"Domain local","Certificate Service DCOM Access","","20240418091257.0Z"
"Domain local","RDS Remote Access Servers","","20240418091257.0Z"
"Domain local","RDS Endpoint Servers","","20240418091257.0Z"
"Domain local","RDS Management Servers","","20240418091257.0Z"
"Domain local","Hyper-V Administrators","","20240418091257.0Z"
"Domain local","Access Control Assistance Operators","","20240418091257.0Z"
"Domain local","Remote Management Users","","20240418091257.0Z"
"Domain local","Storage Replica Administrators","","20240418091257.0Z"
"Global","Domain Computers","","20240418091336.0Z"
"Global","Domain Controllers","","20240418092845.0Z"
"Univesal","Schema Admins","CN=Administrator,CN=Users,DC=andeby,DC=local","20240418092845.0Z"
"Univesal","Enterprise Admins","CN=Administrator,CN=Users,DC=andeby,DC=local","20240418092845.0Z"
"Domain Local","Cert Publishers","","20240418091336.0Z"
"Global","Domain Admins","CN=Geog Gearløs,OU=Administrator,OU=Afdelinger,DC=andeby,DC=local;CN=Administrator,CN=Users,DC=andeby,DC=local","20240418100702.0Z"
"Global","Domain Users","","20240418091336.0Z"
"Global","Domain Guests","","20240418091336.0Z"
"Global","Group Policy Creator Owners","CN=Administrator,CN=Users,DC=andeby,DC=local","20240418091336.0Z"
"Domain Local","RAS and IAS Servers","","20240418091336.0Z"
"Domain local","Server Operators","","20240418092845.0Z"
"Domain local","Account Operators","","20240418092845.0Z"
"Domain local","Pre-Windows 2000 Compatible Access","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=andeby,DC=local","20240418091336.0Z"
"Domain local","Incoming Forest Trust Builders","","20240418091336.0Z"
"Domain local","Windows Authorization Access Group","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=andeby,DC=local","20240418091336.0Z"
"Domain local","Terminal Server License Servers","","20240418091336.0Z"
"Domain Local","Allowed RODC Password Replication Group","","20240418091336.0Z"
"Domain Local","Denied RODC Password Replication Group","CN=Read-only Domain Controllers,CN=Users,DC=andeby,DC=local;CN=Group Policy Creator Owners,CN=Users,DC=andeby,DC=local;CN=Domain Admins,CN=Users,DC=andeby,DC=local;CN=Cert Publishers,CN=Users,DC=andeby,DC=local;CN=Enterprise Admins,CN=Users,DC=andeby,DC=local;CN=Schema Admins,CN=Users,DC=andeby,DC=local;CN=Domain Controllers,CN=Users,DC=andeby,DC=local;CN=krbtgt,CN=Users,DC=andeby,DC=local","20240418091336.0Z"
"Global","Read-only Domain Controllers","","20240418092845.0Z"
"Univesal","Enterprise Read-only Domain Controllers","","20240418091336.0Z"
"Global","Cloneable Domain Controllers","","20240418091336.0Z"
"Global","Protected Users","","20240418091336.0Z"
"Global","Key Admins","","20240418092845.0Z"
"Univesal","Enterprise Key Admins","","20240418092845.0Z"
"Domain Local","DnsAdmins","","20240418091416.0Z"
"Global","DnsUpdateProxy","","20240418091416.0Z"
"Global","G_Direktion","CN=Joakim Von And,OU=Direktion,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local","20240418111714.0Z"
"Global","G_Indkøb","CN=Anders And,OU=Indkøb,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local","20240418111745.0Z"
"Global","G_IT","CN=Geog Gearløs,OU=IT,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local","20240418111816.0Z"
"Global","G_Regnskab","CN=Andersine And,OU=Regnskab,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local","20240418111853.0Z"
"Global","G_Salg","CN=Højben And,OU=Salg,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local","20240418111916.0Z"
"Global","G_Studentermdhjælper","CN=Rylle And,OU=Studentermedhjælper,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local;CN=Pylle And,OU=Studentermedhjælper,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local;CN=Kylle And,OU=Studentermedhjælper,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local","20240418112017.0Z"
"Domain Local","DL_Direktion_M","CN=G_Direktion,OU=Direktion,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local","20240418112142.0Z"
"Domain Local","DL_Direktion_R","CN=G_Regnskab,OU=Regnskab,OU=Laverer sektor,OU=Afdelinger,DC=andeby,DC=local","20240418114235.0Z"
